Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT011241;en cours INV;ULPRPT06;ULPRPT;MECANIQUE;2019-01-15;correctif non planifié
OT011249;clôturé;PFC104;PFC1;MECANIQUE;2019-01-22;correctif planifié
OT011277;clôturé;PFC106;PFC1;MECANIQUE;2019-01-21;correctif planifié
OT012449;clôturé;PFS103;PFS1;MECANIQUE;2019-01-19;correctif planifié
OT012643;en cours INV;ULPRPT05;ULPRPT;MECANIQUE;2019-01-13;correctif non planifié
OT013010;clôturé;PFC110;PFC1;MECANIQUE;2019-01-22;correctif planifié
OT013011;clôturé;PFC107;PFC1;MECANIQUE;2019-01-22;correctif planifié
OT013116;clôturé;PFC106;PFC1;MECANIQUE;2019-01-23;correctif planifié
OT013120;en cours INV;ULUTTE010501;ULUTTE0105;MECANIQUE;2019-01-14;correctif non planifié
OT016637;clôturé;PFS101;PFS1;MECANIQUE;2019-01-23;correctif planifié
OT016754;clôturé;GCULZ309;GCULZ3;MECANIQUE;2019-01-12;correctif planifié
OT016874;clôturé;PFC104;PFC1;MECANIQUE;2019-01-23;correctif planifié
OT017051;clôturé;PFS103;PFS1;MECANIQUE;2019-01-24;correctif planifié
OT017075;clôturé;PFC103;PFC1;MECANIQUE;2019-01-20;correctif non planifié
OT017798;en cours INV;ULPRPH0501;ULPRPH05;MECANIQUE;2019-01-23;correctif planifié
OT017800;en cours INV;ULPRPS0201;ULPRPS02;MECANIQUE;2019-01-18;correctif planifié
OT017801;en cours de validati;PAV00102;pav001;MECANIQUE;2019-01-24;correctif planifié
OT017803;clôturé;PAV004011;PAV004;MECANIQUE;2019-01-24;correctif planifié
OT017805;en cours INV;ULPRSR01;ULPRSR;MECANIQUE;2019-01-23;correctif planifié
OT017806;clôturé;PAV004016;PAV004;MECANIQUE;2019-01-24;correctif planifié
OT017807;clôturé;ULPRSR0102;ULPRSR01;MECANIQUE;2019-01-23;correctif planifié
OT017810;en cours INV;ULPRPH0501;ULPRPH05;MECANIQUE;2019-01-22;correctif planifié
OT017812;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-24;correctif planifié
OT017969;clôturé;PFC103;PFC1;MECANIQUE;2019-01-06;correctif planifié
OT017970;clôturé;PFC107;PFC1;MECANIQUE;2019-01-07;correctif non planifié
OT017974;clôturé;PFC104;PFC1;MECANIQUE;2019-01-09;correctif planifié
OT018029;en cours INV;ULPRDV0103;ULPRDV01;MECANIQUE;2019-01-24;correctif planifié
OT018030;clôturé;PFC104;PFC1;MECANIQUE;2019-01-09;correctif planifié
OT018031;clôturé;PFC104;PFC1;MECANIQUE;2019-01-09;correctif planifié
OT018032;clôturé;PFC103;PFC1;MECANIQUE;2019-01-09;correctif planifié
OT018033;clôturé;PFC103;PFC1;MECANIQUE;2019-01-09;correctif non planifié
OT018034;en cours INV;PAV00320;PAV003;MECANIQUE;2019-01-02;correctif planifié
OT018048;clôturé;PAV00330;PAV003;MECANIQUE;2019-01-03;correctif planifié
OT018051;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-25;correctif non planifié
OT018176;clôturé;PAV00386;PAV003;MECANIQUE;2019-01-10;correctif planifié
OT018177;clôturé;PAV00362;PAV003;MECANIQUE;2019-01-10;correctif planifié
OT018180;clôturé;PFC104;PFC1;MECANIQUE;2019-01-24;correctif planifié
OT018182;clôturé;PFS101;PFS1;MECANIQUE;2019-01-25;correctif planifié
OT018183;clôturé;PFC101;PFC1;MECANIQUE;2019-01-24;correctif planifié
OT018185;clôturé;PAV302;PAV3;MECANIQUE;2019-01-14;correctif planifié
OT018186;clôturé;PAV305;PAV3;MECANIQUE;2019-01-14;correctif planifié
OT018187;clôturé;PAV004016;PAV004;MECANIQUE;2019-01-25;correctif planifié
OT018188;clôturé;PAV004016;PAV004;MECANIQUE;2019-01-25;correctif planifié
OT018189;en cours INV;PAV004008;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018190;en cours INV;PAV004011;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018191;en cours INV;PAV004015;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018192;en cours INV;PAV004017;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018193;en cours INV;PAV004018;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018194;en cours INV;PAV004019;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018195;en cours INV;PAV004020;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018196;en cours INV;PAV004021;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018197;en cours INV;PAV004022;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018198;en cours INV;PAV004023;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018199;en cours INV;PAV004024;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018200;en cours INV;PAV004025;pav004;MECANIQUE;2019-01-26;correctif planifié
OT018201;en cours INV;PAV004026;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018215;en cours INV;ULPRPT06;ULPRPT;MECANIQUE;2019-01-24;correctif planifié
OT018218;en cours INV;ULPRPF0201;ULPRPF02;MECANIQUE;2019-01-21;correctif non planifié
OT018223;clôturé;PFC107;PFC1;MECANIQUE;2019-01-07;correctif non planifié
OT018226;clôturé;PFC107;PFC1;MECANIQUE;2019-01-04;correctif non planifié
OT018230;clôturé;PFC104;PFC1;MECANIQUE;2019-01-13;correctif planifié
OT018234;clôturé;PFC107;PFC1;MECANIQUE;2019-01-13;correctif planifié
OT018235;clôturé;PFC101;PFC1;MECANIQUE;2019-01-13;correctif planifié
OT018236;clôturé;PFC102;PFC1;MECANIQUE;2019-01-25;correctif planifié
OT018237;en cours INV;ULPRDV0103;ULPRDV01;MECANIQUE;2019-01-24;correctif planifié
